req_id,artifact_path,line,kind
REQ-054,tests/acceptance/Acceptance.cs,382,failing-test
REQ-054,tests/acceptance/Acceptance.cs,386,failing-test
REQ-055,tests/acceptance/Acceptance.cs,389,failing-test
REQ-055,tests/acceptance/Acceptance.cs,393,failing-test
REQ-056,tests/acceptance/Acceptance.cs,396,failing-test
REQ-056,tests/acceptance/Acceptance.cs,400,failing-test
REQ-057,tests/acceptance/Acceptance.cs,403,failing-test
REQ-057,tests/acceptance/Acceptance.cs,407,failing-test
REQ-058,tests/acceptance/Acceptance.cs,410,failing-test
REQ-058,tests/acceptance/Acceptance.cs,414,failing-test
REQ-059,tests/acceptance/Acceptance.cs,417,failing-test
REQ-059,tests/acceptance/Acceptance.cs,421,failing-test
REQ-060,tests/acceptance/Acceptance.cs,424,failing-test
REQ-060,tests/acceptance/Acceptance.cs,428,failing-test
REQ-061,tests/acceptance/Acceptance.cs,431,failing-test
REQ-061,tests/acceptance/Acceptance.cs,435,failing-test
REQ-062,tests/acceptance/Acceptance.cs,438,failing-test
REQ-062,tests/acceptance/Acceptance.cs,442,failing-test
REQ-063,tests/acceptance/Acceptance.cs,445,failing-test
REQ-063,tests/acceptance/Acceptance.cs,449,failing-test
